Airline,Source,Destination,Total_Stops,Day_of_Journey,Month_of_Journey,Dep_hour,Dep_min,Duration_hours,Duration_mins,Arrival_hour,Arrival_min,Price
IndiGo,Kolkata,Banglore,0,1,3,20,25,2,40,23,5,4778
Multiple carriers,Delhi,Cochin,2,1,6,15,5,10,25,1,30,18275
IndiGo,Chennai,Kolkata,0,1,6,5,15,2,25,7,40,3540
IndiGo,Delhi,Cochin,1,27,6,8,35,13,55,22,30,6442
Air India,Kolkata,Banglore,0,27,6,20,45,2,35,23,20,4145
IndiGo,Kolkata,Banglore,0,9,6,14,25,2,30,16,55,5644
IndiGo,Kolkata,Banglore,0,3,5,14,25,2,30,16,55,5224
Jet Airways,Delhi,Cochin,1,21,3,17,30,25,20,18,50,5963
Multiple carriers,Delhi,Cochin,1,27,5,6,0,13,0,19,0,11264
GoAir,Delhi,Cochin,1,27,3,14,10,5,10,19,20,10188
Jet Airways,Kolkata,Banglore,1,18,5,20,0,13,20,9,20,10844
IndiGo,Banglore,New_Delhi,1,15,3,13,40,4,55,18,35,7166
Jet Airways,Banglore,New_Delhi,1,12,3,22,55,10,35,9,30,13817
Jet Airways,Delhi,Cochin,1,9,5,18,15,18,20,12,35,12373
Jet Airways,Banglore,New_Delhi,1,1,3,16,55,16,5,9,0,25735
Jet Airways,Banglore,New_Delhi,1,18,3,11,40,7,30,19,10,14815
Jet Airways,Delhi,Cochin,1,12,6,11,30,25,5,12,35,10262
Jet Airways,Delhi,Cochin,1,15,6,8,0,11,0,19,0,10262
Air India,Delhi,Cochin,1,9,6,17,40,14,35,8,15,7468
Jet Airways,Mumbai,Hyderabad,0,9,5,7,5,1,25,8,30,8040
Jet Airways,Delhi,Cochin,2,24,6,23,5,19,55,19,0,12819
IndiGo,Chennai,Kolkata,0,6,3,14,40,2,25,17,5,7295
Jet Airways,Banglore,Delhi,0,27,5,15,15,2,55,18,10,7229
Air Asia,Delhi,Cochin,1,15,6,16,45,5,40,22,25,6853
Jet Airways,Kolkata,Banglore,1,24,5,21,10,12,10,9,20,9663
Jet Airways,Kolkata,Banglore,1,1,4,6,30,11,45,18,15,7064
Air India,Delhi,Cochin,1,6,6,9,0,10,15,19,15,8372
SpiceJet,Mumbai,Hyderabad,0,3,6,13,15,1,30,14,45,1965
Vistara,Kolkata,Banglore,1,24,3,7,10,11,35,18,45,16932
SpiceJet,Kolkata,Banglore,0,18,6,22,20,2,20,0,40,3841
Jet Airways,Delhi,Cochin,2,12,6,11,40,7,20,19,0,15812
Air India,Banglore,New_Delhi,1,3,3,6,55,6,25,13,20,10924
Air India,Delhi,Cochin,0,27,5,14,10,3,0,17,10,6934
Jet Airways,Delhi,Cochin,1,1,6,8,0,11,0,19,0,10262
Jet Airways,Delhi,Cochin,1,6,3,13,55,14,30,4,25,13843
Multiple carriers,Delhi,Cochin,1,15,5,6,40,12,20,19,0,9315
Multiple carriers,Delhi,Cochin,1,21,5,6,0,13,15,19,15,8266
Jet Airways,Kolkata,Banglore,1,24,3,21,10,11,0,8,10,14231
GoAir,Banglore,Delhi,0,18,4,20,55,2,45,23,40,5048
Jet Airways,Delhi,Cochin,1,6,6,17,30,25,30,19,0,10262
Multiple carriers,Delhi,Cochin,1,27,3,9,0,12,0,21,0,12537
Jet Airways,Delhi,Cochin,1,15,6,13,0,15,25,4,25,10262
Jet Airways,Mumbai,Hyderabad,0,3,4,7,5,1,25,8,30,8040
SpiceJet,Kolkata,Banglore,1,6,5,11,15,7,15,18,30,9736
IndiGo,Kolkata,Banglore,0,6,5,4,40,2,35,7,15,4804
Jet Airways,Banglore,New_Delhi,1,12,3,16,55,16,35,9,30,13817
GoAir,Banglore,Delhi,0,21,5,7,45,2,55,10,40,5048
Jet Airways,Mumbai,Hyderabad,0,1,4,10,20,1,30,11,50,8040
Multiple carriers,Delhi,Cochin,1,12,6,8,30,10,45,19,15,7354
Multiple carriers,Delhi,Cochin,1,6,3,14,35,7,45,22,20,7563
IndiGo,Delhi,Cochin,1,3,3,10,45,4,45,15,30,7725
Multiple carriers,Delhi,Cochin,1,1,6,8,45,12,15,21,0,7740
Air India,Kolkata,Banglore,2,12,6,10,0,19,25,5,25,13532
IndiGo,Kolkata,Banglore,0,1,3,14,20,2,35,16,55,6565
Jet Airways,Kolkata,Banglore,1,12,5,16,30,27,20,19,50,10844
SpiceJet,Kolkata,Banglore,0,18,4,22,20,2,20,0,40,3841
Multiple carriers,Delhi,Cochin,1,3,6,8,30,10,30,19,0,11200
Air India,Kolkata,Banglore,2,1,4,9,25,25,5,10,30,12009
Air India,Delhi,Cochin,1,15,5,8,0,11,15,19,15,8372
Air India,Delhi,Cochin,2,15,6,6,50,24,50,7,40,13591
Vistara,Mumbai,Hyderabad,1,6,3,20,55,19,50,16,45,12395
SpiceJet,Chennai,Kolkata,0,1,3,8,20,2,15,10,35,7298
IndiGo,Delhi,Cochin,1,3,3,7,20,5,10,12,30,12214
Jet Airways,Kolkata,Banglore,1,15,5,17,0,29,5,22,5,14151
Air India,Delhi,Cochin,2,1,6,17,15,26,0,19,15,12970
Jet Airways,Kolkata,Banglore,1,1,5,14,5,9,30,23,35,14781
Vistara,Banglore,Delhi,0,6,6,17,0,2,35,19,35,4878
SpiceJet,Chennai,Kolkata,0,3,5,8,20,2,15,10,35,3597
Air Asia,Kolkata,Banglore,1,6,6,7,35,15,55,23,30,6810
Vistara,Chennai,Kolkata,0,1,5,7,5,2,15,9,20,3687
Air India,Delhi,Cochin,1,21,3,17,20,16,5,9,25,6482
Jet Airways,Mumbai,Hyderabad,1,6,3,17,0,23,50,16,50,19595
IndiGo,Delhi,Cochin,1,15,6,15,10,4,50,20,0,6147
Jet Airways,Kolkata,Banglore,1,6,5,17,0,16,45,9,45,10953
SpiceJet,Kolkata,Banglore,0,24,4,22,20,2,20,0,40,3873
Jet Airways,Banglore,New_Delhi,1,6,3,14,5,15,0,5,5,14815
Multiple carriers,Delhi,Cochin,1,6,6,4,55,14,5,19,0,10678
Jet Airways,Delhi,Cochin,1,9,3,15,5,13,20,4,25,14053
Jet Airways,Kolkata,Banglore,1,12,6,9,35,12,30,22,5,10539
Jet Airways,Banglore,New_Delhi,1,18,3,14,5,7,15,21,20,16946
IndiGo,Delhi,Cochin,0,3,3,14,30,3,5,17,35,7673
Air India,Banglore,New_Delhi,0,24,3,13,20,2,50,16,10,4441
Jet Airways,Banglore,Delhi,0,15,4,11,10,2,55,14,5,4544
IndiGo,Kolkata,Banglore,0,24,4,15,30,2,35,18,5,4804
Jet Airways,Delhi,Cochin,1,1,4,9,0,27,35,12,35,5406
Air India,Mumbai,Hyderabad,0,3,4,6,20,1,20,7,40,3100
Jet Airways,Delhi,Cochin,2,27,6,23,5,19,55,19,0,11150
IndiGo,Banglore,Delhi,0,6,4,16,55,3,0,19,55,4823
SpiceJet,Mumbai,Hyderabad,0,3,5,5,45,1,30,7,15,1965
Jet Airways,Delhi,Cochin,1,24,6,21,50,14,45,12,35,10262
IndiGo,Delhi,Cochin,1,6,6,7,35,8,35,16,10,6674
Jet Airways,Delhi,Cochin,1,6,3,9,0,19,25,4,25,15764
Jet Airways,Kolkata,Banglore,1,1,4,20,0,26,35,22,35,7064
Jet Airways,Delhi,Cochin,1,6,6,14,0,5,0,19,0,10262
IndiGo,Kolkata,Banglore,1,1,5,8,10,4,50,13,0,5069
Multiple carriers,Delhi,Cochin,1,6,6,11,40,7,20,19,0,11789
Air India,Kolkata,Banglore,2,1,5,10,0,27,45,13,45,15164
Air India,Delhi,Cochin,0,6,6,14,10,3,0,17,10,6094
SpiceJet,Banglore,Delhi,0,21,4,9,30,2,50,12,20,4885
Air Asia,Banglore,Delhi,0,21,6,11,10,2,45,13,55,3383
Multiple carriers,Delhi,Cochin,1,27,3,17,0,8,35,1,35,6673
Jet Airways,Banglore,Delhi,0,27,4,7,10,3,0,10,10,4544
Jet Airways,Delhi,Cochin,2,21,3,10,45,8,5,18,50,8367
GoAir,Banglore,Delhi,0,3,6,11,40,2,50,14,30,3898
Jet Airways,Kolkata,Banglore,1,9,6,14,5,8,30,22,35,10844
Multiple carriers,Delhi,Cochin,1,27,3,2,15,11,5,13,20,12327
SpiceJet,Delhi,Cochin,1,21,3,8,45,4,30,13,15,6356
Air India,Banglore,Delhi,0,15,5,21,5,2,50,23,55,5228
Air India,Banglore,New_Delhi,2,18,3,6,45,33,45,16,30,10835
IndiGo,Banglore,Delhi,0,21,6,4,0,2,50,6,50,3943
Jet Airways,Delhi,Cochin,1,1,6,18,15,24,45,19,0,14714
Air India,Kolkata,Banglore,2,6,5,5,50,30,10,12,0,11883
Vistara,Kolkata,Banglore,1,12,6,20,20,27,5,23,25,8610
Multiple carriers,Delhi,Cochin,1,15,5,7,10,15,20,22,30,6513
Jet Airways,Delhi,Cochin,1,21,5,2,15,26,10,4,25,12898
Air India,Delhi,Cochin,2,1,6,22,0,21,15,19,15,10861
IndiGo,Mumbai,Hyderabad,0,21,6,19,5,1,30,20,35,4049
Jet Airways,Banglore,New_Delhi,1,18,3,11,40,17,25,5,5,13555
Jet Airways,Delhi,Cochin,1,27,5,2,15,16,45,19,0,16079
IndiGo,Delhi,Cochin,0,6,3,5,35,3,15,8,50,7673
Multiple carriers Premium economy,Delhi,Cochin,1,21,3,8,55,10,20,19,15,10161
Jet Airways,Delhi,Cochin,1,12,6,2,15,10,20,12,35,10262
SpiceJet,Kolkata,Banglore,0,3,5,6,55,2,35,9,30,3873
SpiceJet,Banglore,Delhi,0,3,6,21,10,2,55,0,5,3311
IndiGo,Delhi,Cochin,1,9,3,16,0,9,35,1,35,13611
Air India,Delhi,Cochin,2,6,3,12,0,7,15,19,15,11858
Multiple carriers,Delhi,Cochin,1,27,5,10,20,8,55,19,15,9316
IndiGo,Banglore,Delhi,0,1,4,7,10,2,55,10,5,4823
Jet Airways,Kolkata,Banglore,1,12,5,20,0,14,5,10,5,13941
Jet Airways,Delhi,Cochin,2,27,5,9,40,18,45,4,25,13029
SpiceJet,Kolkata,Banglore,0,12,4,6,55,2,35,9,30,3873
IndiGo,Banglore,Delhi,0,12,4,1,30,2,45,4,15,4591
Vistara,Mumbai,Hyderabad,1,6,3,8,45,14,10,22,55,12395
IndiGo,Mumbai,Hyderabad,0,21,3,2,30,1,30,4,0,3603
IndiGo,Kolkata,Banglore,0,1,5,15,30,2,35,18,5,4804
IndiGo,Banglore,Delhi,0,21,5,18,25,2,55,21,20,4823
Jet Airways,Delhi,Cochin,1,21,3,11,30,7,20,18,50,13244
Air Asia,Kolkata,Banglore,1,24,3,7,35,11,50,19,25,6785
Air India,Mumbai,Hyderabad,0,24,6,6,20,1,20,7,40,3100
Multiple carriers,Delhi,Cochin,1,12,6,18,0,7,30,1,30,7198
Jet Airways,Delhi,Cochin,2,27,6,9,40,9,20,19,0,13014
Air India,Delhi,Cochin,2,6,3,6,50,24,50,7,40,20416
Air India,Delhi,Cochin,2,6,6,22,0,21,15,19,15,10441
Air India,Banglore,New_Delhi,1,1,3,10,30,24,50,11,20,11528
Air India,Kolkata,Banglore,2,6,5,7,0,18,20,1,20,14083
IndiGo,Chennai,Kolkata,0,15,5,19,35,2,20,21,55,3597
Air India,Kolkata,Banglore,2,12,6,5,50,7,25,13,15,7662
IndiGo,Banglore,Delhi,0,6,6,8,30,2,50,11,20,4823
Air India,Delhi,Cochin,3,27,6,5,15,38,0,19,15,10703
Jet Airways,Mumbai,Hyderabad,0,12,6,7,5,1,25,8,30,8040
Vistara,Banglore,Delhi,0,24,6,7,0,2,40,9,40,4668
Air India,Delhi,Cochin,0,12,5,18,5,3,5,21,10,6304
Air India,Mumbai,Hyderabad,2,6,3,6,0,29,55,11,55,14219
SpiceJet,Kolkata,Banglore,0,1,5,17,10,2,30,19,40,3841
Multiple carriers,Delhi,Cochin,1,27,5,13,0,8,0,21,0,13587
Air India,Kolkata,Banglore,2,18,5,5,50,14,35,20,25,12093
SpiceJet,Delhi,Cochin,1,27,4,6,5,5,15,11,20,5899
Air India,Mumbai,Hyderabad,0,12,5,13,55,1,30,15,25,3100
Air India,Banglore,Delhi,0,12,5,17,0,2,45,19,45,5438
IndiGo,Banglore,Delhi,0,18,4,18,55,2,55,21,50,5780
Air India,Kolkata,Banglore,2,9,6,9,25,15,55,1,20,11668
IndiGo,Banglore,New_Delhi,0,1,3,7,10,2,55,10,5,11934
Jet Airways,Delhi,Cochin,2,27,6,20,0,8,25,4,25,16263
IndiGo,Delhi,Cochin,1,6,3,18,35,7,0,1,35,14871
SpiceJet,Banglore,Delhi,0,24,5,9,30,2,50,12,20,3573
Air India,Delhi,Cochin,2,3,3,21,30,21,45,19,15,12497
Air India,Delhi,Cochin,0,21,6,18,5,3,5,21,10,5411
IndiGo,Delhi,Cochin,1,9,6,5,5,11,5,16,10,6600
IndiGo,Kolkata,Banglore,1,6,6,9,20,4,55,14,15,11160
Jet Airways,Mumbai,Hyderabad,2,6,3,17,15,23,35,16,50,22950
SpiceJet,Kolkata,Banglore,1,24,5,15,5,5,15,20,20,4649
Jet Airways,Delhi,Cochin,2,21,5,5,30,22,55,4,25,15129
IndiGo,Delhi,Cochin,0,12,5,21,5,3,15,0,20,8626
Jet Airways,Delhi,Cochin,1,6,3,7,5,21,20,4,25,17234
Jet Airways,Banglore,New_Delhi,1,21,3,5,45,7,30,13,15,7832
Air India,Mumbai,Hyderabad,0,18,6,15,0,1,25,16,25,3100
Jet Airways,Kolkata,Banglore,1,9,5,9,35,28,50,14,25,9314
Jet Airways,Delhi,Cochin,1,1,6,2,15,10,20,12,35,14714
Jet Airways,Delhi,Cochin,2,15,6,11,45,16,40,4,25,13882
Jet Airways,Delhi,Cochin,2,9,5,5,30,7,5,12,35,16274
Multiple carriers,Delhi,Cochin,1,6,3,11,30,7,20,18,50,15135
IndiGo,Banglore,New_Delhi,0,24,3,21,20,2,55,0,15,6144
Jet Airways,Delhi,Cochin,2,27,3,19,10,24,35,19,45,9483
Air India,Delhi,Cochin,2,15,5,6,50,24,50,7,40,14431
Multiple carriers,Delhi,Cochin,1,24,6,14,55,7,35,22,30,6093
Multiple carriers,Delhi,Cochin,1,21,5,10,0,11,0,21,0,7888
IndiGo,Delhi,Cochin,1,15,5,9,15,16,15,1,30,7503
Air India,Kolkata,Banglore,1,6,5,19,0,14,50,9,50,6117
Jet Airways,Delhi,Cochin,1,3,3,9,0,9,50,18,50,17024
Jet Airways,Kolkata,Banglore,1,1,4,18,55,13,20,8,15,12681
Multiple carriers,Delhi,Cochin,1,24,6,10,35,8,25,19,0,10678
Jet Airways,Kolkata,Banglore,1,24,3,8,25,27,35,12,0,13759
SpiceJet,Mumbai,Hyderabad,0,3,6,22,45,1,30,0,15,2017
SpiceJet,Banglore,Delhi,0,15,6,9,30,2,50,12,20,4885
Multiple carriers,Delhi,Cochin,1,27,5,6,0,13,15,19,15,10786
Vistara,Mumbai,Hyderabad,1,12,3,7,30,25,55,9,25,12080
IndiGo,Kolkata,Banglore,0,9,6,20,20,2,35,22,55,4804
Air India,Delhi,Cochin,1,21,3,21,0,22,15,19,15,6587
Jet Airways,Delhi,Cochin,2,27,3,5,10,13,40,18,50,8728
Air Asia,Delhi,Cochin,1,18,5,20,45,10,25,7,10,7452
IndiGo,Banglore,Delhi,0,6,6,20,0,2,50,22,50,4823
Multiple carriers,Delhi,Cochin,1,9,5,7,5,15,25,22,30,8310
Vistara,Banglore,Delhi,0,1,4,11,30,2,50,14,20,5403
Jet Airways,Delhi,Cochin,2,9,6,14,35,22,0,12,35,13376
Multiple carriers,Delhi,Cochin,1,3,6,10,35,8,25,19,0,10877
Jet Airways,Banglore,New_Delhi,1,6,3,22,50,25,55,0,45,14815
IndiGo,Delhi,Cochin,1,21,3,6,40,9,30,16,10,6558
Multiple carriers,Delhi,Cochin,1,21,5,9,0,12,0,21,0,14067
Multiple carriers,Delhi,Cochin,1,21,5,9,15,9,45,19,0,9627
Jet Airways,Delhi,Cochin,1,3,6,19,15,23,45,19,0,14714
IndiGo,Delhi,Cochin,0,9,5,5,35,3,15,8,50,5000
Multiple carriers Premium economy,Delhi,Cochin,1,21,3,6,0,15,0,21,0,9845
Jet Airways,Kolkata,Banglore,1,18,5,18,55,21,25,16,20,10844
IndiGo,Delhi,Cochin,1,27,3,4,45,8,35,13,20,7048
Jet Airways,Kolkata,Banglore,1,12,6,9,35,25,20,10,55,12692
Jet Airways,Delhi,Cochin,1,9,3,21,50,21,0,18,50,13843
Jet Airways,Banglore,New_Delhi,1,21,3,14,5,17,35,7,40,7832
IndiGo,Mumbai,Hyderabad,0,1,6,9,15,1,30,10,45,4049
Jet Airways,Delhi,Cochin,1,27,3,8,0,10,50,18,50,12242
Jet Airways,Delhi,Cochin,1,24,6,19,15,23,45,19,0,10262
Jet Airways,Kolkata,Banglore,1,9,6,8,25,11,25,19,50,14571
SpiceJet,Kolkata,Banglore,0,24,5,17,10,2,30,19,40,4174
Multiple carriers,Delhi,Cochin,1,27,5,6,0,6,35,12,35,11264
IndiGo,Kolkata,Banglore,0,18,4,21,25,2,40,0,5,4174
IndiGo,Chennai,Kolkata,0,12,6,5,15,2,25,7,40,3540
Vistara,Kolkata,Banglore,1,18,5,7,10,13,10,20,20,9345
Air India,Delhi,Cochin,2,6,6,16,40,26,35,19,15,9653
IndiGo,Mumbai,Hyderabad,0,18,3,6,20,1,25,7,45,3342
Multiple carriers,Delhi,Cochin,1,18,5,10,0,15,30,1,30,8073
Jet Airways,Kolkata,Banglore,1,1,4,6,30,14,15,20,45,7064
Jet Airways,Delhi,Cochin,2,27,6,14,35,22,0,12,35,13376
Multiple carriers,Delhi,Cochin,1,6,3,8,25,10,25,18,50,15135
Air India,Kolkata,Banglore,1,24,5,10,0,10,25,20,25,10413
Vistara,Kolkata,Banglore,1,1,5,20,20,14,25,10,45,9187
Jet Airways,Delhi,Cochin,2,1,6,9,35,27,0,12,35,13292
IndiGo,Delhi,Cochin,1,9,3,7,35,8,35,16,10,6674
IndiGo,Delhi,Cochin,1,9,5,17,30,8,0,1,30,8330
Multiple carriers,Delhi,Cochin,1,1,6,6,40,12,20,19,0,11200
Jet Airways,Delhi,Cochin,1,3,6,10,0,26,35,12,35,10262
Vistara,Delhi,Cochin,0,15,4,14,40,3,10,17,50,6216
Jet Airways,Kolkata,Banglore,1,18,5,20,0,23,50,19,50,10844
Jet Airways,Kolkata,Banglore,1,24,3,16,55,25,15,18,10,11134
IndiGo,Chennai,Kolkata,0,18,6,22,5,2,20,0,25,5277
Jet Airways,Delhi,Cochin,2,27,6,8,10,28,25,12,35,14300
Jet Airways,Banglore,New_Delhi,1,6,3,22,50,21,30,20,20,17471
Jet Airways,Kolkata,Banglore,1,21,5,21,10,12,10,9,20,10844
SpiceJet,Banglore,New_Delhi,0,15,3,5,45,2,50,8,35,5469
Jet Airways,Delhi,Cochin,1,9,6,14,0,22,35,12,35,10262
SpiceJet,Delhi,Cochin,1,6,3,16,35,6,15,22,50,7185
Air Asia,Kolkata,Banglore,0,18,6,19,55,2,30,22,25,3807
Jet Airways,Delhi,Cochin,1,1,6,17,30,10,55,4,25,14714
Vistara,Kolkata,Banglore,1,6,5,7,10,13,10,20,20,8610
Jet Airways,Delhi,Cochin,1,6,3,7,5,11,45,18,50,17234
Multiple carriers,Delhi,Cochin,3,12,6,11,35,9,25,21,0,15629
Multiple carriers,Delhi,Cochin,2,27,3,7,5,14,15,21,20,6128
Jet Airways,Delhi,Cochin,1,9,3,16,0,12,25,4,25,16289
Jet Airways,Delhi,Cochin,2,9,5,5,30,13,30,19,0,15129
Jet Airways,Banglore,New_Delhi,1,21,3,14,5,20,20,10,25,7832
Jet Airways,Banglore,New_Delhi,1,1,3,8,0,8,10,16,10,22270
Jet Airways,Kolkata,Banglore,1,1,5,17,0,16,45,9,45,11467
IndiGo,Mumbai,Hyderabad,0,9,5,19,5,1,30,20,35,4392
SpiceJet,Kolkata,Banglore,0,6,5,17,10,2,30,19,40,4491
Jet Airways,Kolkata,Banglore,1,18,5,21,10,12,10,9,20,9663
IndiGo,Delhi,Cochin,1,27,6,18,35,6,55,1,30,5883
Air India,Delhi,Cochin,1,3,3,19,0,12,40,7,40,14777
Air Asia,Kolkata,Banglore,1,21,5,6,50,3,40,10,30,5162
IndiGo,Kolkata,Banglore,0,1,6,21,25,2,40,0,5,4804
Jet Airways,Kolkata,Banglore,1,12,6,14,5,21,55,12,0,8529
Jet Airways,Kolkata,Banglore,1,9,6,6,30,9,50,16,20,10844
SpiceJet,Kolkata,Banglore,0,9,4,6,55,2,35,9,30,3873
IndiGo,Kolkata,Banglore,0,12,6,9,35,2,45,12,20,4804
Jet Airways,Mumbai,Hyderabad,0,12,5,2,55,1,25,4,20,5678
Jet Airways,Kolkata,Banglore,1,1,4,6,30,11,45,18,15,12681
Jet Airways,Banglore,New_Delhi,1,15,3,5,50,6,30,12,20,9623
Multiple carriers,Delhi,Cochin,1,3,3,8,55,12,5,21,0,15147
Vistara,Kolkata,Banglore,1,24,5,7,10,16,15,23,25,9345
Jet Airways,Kolkata,Banglore,1,6,5,18,55,15,10,10,5,7757
Jet Airways,Kolkata,Banglore,1,12,5,16,30,19,30,12,0,10844
Air India,Banglore,New_Delhi,2,3,3,11,5,35,5,22,10,11948
Jet Airways,Delhi,Cochin,2,27,6,6,45,29,50,12,35,13376
Air India,Kolkata,Banglore,1,15,5,19,0,9,40,4,40,6117
IndiGo,Delhi,Cochin,1,6,3,4,55,11,15,16,10,6171
Jet Airways,Kolkata,Banglore,1,12,6,14,5,5,45,19,50,13626
Jet Airways,Banglore,New_Delhi,1,6,3,21,25,21,45,19,10,17471
Multiple carriers,Delhi,Cochin,1,21,3,10,20,8,55,19,15,7531
Jet Airways,Delhi,Cochin,1,9,5,15,0,13,25,4,25,12373
Jet Airways,Delhi,Cochin,1,27,5,7,5,5,30,12,35,16289
IndiGo,Banglore,New_Delhi,0,24,3,10,10,2,50,13,0,4777
Jet Airways,Banglore,Delhi,0,21,4,8,20,3,0,11,20,5198
Jet Airways,Kolkata,Banglore,1,6,6,14,5,9,30,23,35,10844
Air India,Banglore,Delhi,0,18,5,17,0,2,45,19,45,7171
Air India,Delhi,Cochin,2,27,6,18,45,24,30,19,15,11942
IndiGo,Banglore,Delhi,0,27,4,10,30,2,50,13,20,4423
Vistara,Delhi,Cochin,0,18,3,14,55,2,55,17,50,5586
Jet Airways,Kolkata,Banglore,1,24,3,16,55,19,5,12,0,11134
Air Asia,Banglore,New_Delhi,0,24,3,5,50,2,50,8,40,4284
Air India,Kolkata,Banglore,0,1,5,14,15,2,30,16,45,6245
SpiceJet,Banglore,New_Delhi,1,15,3,10,20,7,55,18,15,10341
SpiceJet,Banglore,New_Delhi,0,3,3,5,45,2,50,8,35,6860
Air India,Mumbai,Hyderabad,0,3,4,19,30,1,15,20,45,2050
Multiple carriers,Delhi,Cochin,1,24,6,17,45,7,45,1,30,5797
IndiGo,Banglore,New_Delhi,0,9,3,8,30,3,0,11,30,7648
Air India,Banglore,New_Delhi,0,15,3,21,10,2,45,23,55,8851
Air India,Kolkata,Banglore,2,6,6,10,0,19,25,5,25,13007
Jet Airways,Kolkata,Banglore,1,24,5,9,35,24,10,9,45,13067
IndiGo,Banglore,New_Delhi,1,18,3,16,55,4,55,21,50,4049
Jet Airways,Kolkata,Banglore,1,12,6,17,0,25,0,18,0,12692
Air India,Chennai,Kolkata,0,9,5,11,40,2,15,13,55,4667
Multiple carriers,Delhi,Cochin,2,3,3,7,10,14,10,21,20,8938
IndiGo,Delhi,Cochin,1,21,3,7,30,8,0,15,30,10208
Multiple carriers,Delhi,Cochin,1,3,6,11,25,7,50,19,15,7354
Air India,Banglore,Delhi,0,21,4,17,0,2,45,19,45,5438
Air Asia,Kolkata,Banglore,0,24,5,22,50,2,30,1,20,4107
Jet Airways,Kolkata,Banglore,1,24,3,19,45,16,15,12,0,11134
Jet Airways,Delhi,Cochin,1,15,6,20,55,15,40,12,35,10262
Air India,Kolkata,Banglore,2,24,5,7,0,18,20,1,20,14083
Vistara,Kolkata,Banglore,1,9,6,7,10,16,15,23,25,9345
Jet Airways,Delhi,Cochin,1,9,5,17,30,19,5,12,35,12373
Multiple carriers,Delhi,Cochin,1,15,6,16,0,9,30,1,30,10196
IndiGo,Delhi,Cochin,1,15,4,16,0,5,0,21,0,5947
Jet Airways,Kolkata,Banglore,1,12,6,14,5,19,15,9,20,13044
Jet Airways,Kolkata,Banglore,1,18,5,5,45,27,35,9,20,9663
Jet Airways,Banglore,New_Delhi,1,1,3,5,45,14,35,20,20,27992
IndiGo,Kolkata,Banglore,1,24,3,15,10,4,40,19,50,7476
Air India,Kolkata,Banglore,1,9,6,7,0,13,25,20,25,10413
Multiple carriers,Delhi,Cochin,1,1,6,11,40,7,35,19,15,10261
Jet Airways,Kolkata,Banglore,1,6,6,9,35,14,0,23,35,14151
Air India,Banglore,Delhi,0,6,4,6,10,2,45,8,55,5176
Jet Airways,Delhi,Cochin,1,6,6,10,0,18,25,4,25,14714
Jet Airways,Kolkata,Banglore,1,15,5,17,0,21,25,14,25,9314
Jet Airways,Delhi,Cochin,1,24,6,21,50,6,35,4,25,14714
Multiple carriers,Delhi,Cochin,1,6,6,8,0,11,0,19,0,12192
SpiceJet,Mumbai,Hyderabad,0,3,4,22,45,1,30,0,15,1759
IndiGo,Delhi,Cochin,1,27,3,2,5,5,20,7,25,4744
Jet Airways,Banglore,Delhi,0,21,5,19,50,3,0,22,50,7229
Jet Airways,Delhi,Cochin,1,9,3,0,20,28,5,4,25,15029
IndiGo,Kolkata,Banglore,0,15,3,20,25,2,40,23,5,4462
SpiceJet,Chennai,Kolkata,0,12,3,8,20,2,15,10,35,6300
Air India,Mumbai,Hyderabad,0,21,3,19,30,1,15,20,45,2575
Jet Airways,Banglore,New_Delhi,1,12,3,18,55,24,15,19,10,11087
Multiple carriers,Delhi,Cochin,1,27,3,4,0,9,20,13,20,6305
Vistara,Banglore,New_Delhi,0,9,3,19,40,2,40,22,20,8290
Jet Airways,Banglore,Delhi,0,18,6,7,10,3,0,10,10,5769
IndiGo,Banglore,Delhi,0,12,4,21,15,3,0,0,15,4990
Air Asia,Banglore,New_Delhi,0,3,3,23,25,2,45,2,10,6135
IndiGo,Delhi,Cochin,1,27,3,2,0,5,45,7,45,5733
Multiple carriers,Delhi,Cochin,1,15,5,6,0,15,0,21,0,7670
Jet Airways,Delhi,Cochin,2,27,6,19,10,23,50,19,0,12819
IndiGo,Banglore,Delhi,0,3,5,20,0,2,50,22,50,4823
IndiGo,Delhi,Cochin,1,9,5,4,55,16,5,21,0,6979
Air India,Kolkata,Banglore,1,24,3,9,25,9,5,18,30,10493
Air India,Delhi,Cochin,2,9,3,20,0,23,15,19,15,16111
Air India,Delhi,Cochin,2,9,6,22,0,21,15,19,15,10651
IndiGo,Delhi,Cochin,1,27,5,5,5,11,5,16,10,6600
Jet Airways,Delhi,Cochin,2,12,6,14,35,22,0,12,35,10919
IndiGo,Kolkata,Banglore,0,21,3,10,10,2,45,12,55,5198
Air India,Banglore,New_Delhi,2,12,3,8,50,31,30,16,20,12778
IndiGo,Mumbai,Hyderabad,0,27,3,19,5,1,25,20,30,2754
Jet Airways,Delhi,Cochin,2,9,5,23,5,19,55,19,0,15129
IndiGo,Delhi,Cochin,1,9,5,20,25,5,5,1,30,7255
Multiple carriers,Delhi,Cochin,1,21,3,7,5,6,15,13,20,14486
GoAir,Delhi,Cochin,1,21,4,7,0,5,55,12,55,6591
SpiceJet,Banglore,Delhi,0,21,5,21,10,2,55,0,5,3573
Jet Airways,Delhi,Cochin,1,1,6,15,0,21,35,12,35,10262
Jet Airways,Kolkata,Banglore,1,15,5,18,55,15,10,10,5,14388
Jet Airways,Delhi,Cochin,1,3,6,17,30,25,30,19,0,14714
